PLName(s)	PLPower(i)	PLParam1(i)	PLParam2(i)	PLMinLvl(i)	PLIType(i)	PLGOE(i)	PLDouble(i)	PLOk(i)	PLMinVal(i)	PLMaxVal(i)	PLMultVal(i)
"Crystal"	IPL_MAGICRES	41	50	20	PLT_ARMO | PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW | PLT_MISC	0	FALSE	TRUE	8200	12000	3
"Diamond"	IPL_MAGICRES	51	60	26	PLT_ARMO | PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW | PLT_MISC	0	FALSE	TRUE	17100	20000	5
"Topaz"	IPL_ALLRES	10	15	8	PLT_ARMO | PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW | PLT_MISC	0	FALSE	TRUE	2000	5000	3
"Amber"	IPL_ALLRES	16	20	12	PLT_ARMO | PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW | PLT_MISC	0	FALSE	TRUE	7400	10000	3
"Jade"	IPL_ALLRES	21	30	18	PLT_ARMO | PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW | PLT_MISC	0	FALSE	TRUE	11000	15000	3
"Obsidian"	IPL_ALLRES	31	40	24	PLT_ARMO | PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW | PLT_MISC	0	FALSE	TRUE	24000	40000	4
"Emerald"	IPL_ALLRES	41	50	31	PLT_SHLD | PLT_WEAP | PLT_STAFF | PLT_BOW 	0	FALSE	TRUE	61000	75000	7
"Hyena's"	IPL_MANA_CURSE	11	25	4	PLT_STAFF | PLT_MISC	0	FALSE	FALSE	100	1000	-2
"Frog's"	IPL_MANA_CURSE	1	10	1	PLT_STAFF | PLT_MISC	1	FALSE	FALSE	0	0	-2
"Spider's"	IPL_MANA	10	15	1	PLT_STAFF | PLT_MISC	1	FALSE	TRUE	500	1000	2
"Raven's"	IPL_MANA	15	20	5	PLT_STAFF | PLT_MISC	0	FALSE	TRUE	1100	2000	3
"Snake's"	IPL_MANA	21	30	9	PLT_STAFF | PLT_MISC	0	FALSE	TRUE	2100	4000	5
"Serpent's"	IPL_MANA	30	40	15	PLT_STAFF | PLT_MISC	0	FALSE	TRUE	4100	6000	7
"Drake's"	IPL_MANA	41	50	21	PLT_STAFF | PLT_MISC	0	FALSE	TRUE	6100	10000	9
"Dragon's"	IPL_MANA	51	60	27	PLT_STAFF | PLT_MISC	0	FALSE	TRUE	10100	15000	11
"Wyrm's"	IPL_MANA	61	80	35	PLT_STAFF 	0	FALSE	TRUE	15100	19000	12
"Hydra's"	IPL_MANA	81	100	60	PLT_STAFF 	0	FALSE	TRUE	19100	30000	13
"Angel's"	IPL_SPLLVLADD	1	1	15	PLT_STAFF 	16	FALSE	TRUE	25000	25000	2
"Arch-Angel's"	IPL_SPLLVLADD	2	2	25	PLT_STAFF 	16	FALSE	TRUE	50000	50000	3
"Plentiful"	IPL_CHARGES	2	2	4	PLT_STAFF 	0	FALSE	TRUE	2000	2000	2
"Bountiful"	IPL_CHARGES	3	3	9	PLT_STAFF 	0	FALSE	TRUE	3000	3000	3
"Flaming"	IPL_FIREDAM	1	10	7	PLT_WEAP | PLT_STAFF 	0	FALSE	TRUE	5000	5000	2
"Lightning"	IPL_LIGHTDAM	2	20	18	PLT_WEAP | PLT_STAFF 	0	FALSE	TRUE	10000	10000	2
~	IPL_INVALID	0	0	0	0 	0	FALSE	FALSE	0	0	0
